epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.5165,0.5000,0.5000,0.5000,0.5000
2,0.5124,0.5661,0.5620,0.5620,0.5661
3,0.5207,0.6116,0.6116,0.6116,0.6116
4,0.5331,0.5165,0.5165,0.5165,0.5165
5,0.5537,0.5331,0.5372,0.5372,0.5372
6,0.5000,0.5764,0.5764,0.5764,0.5764
7,0.4855,0.5620,0.5661,0.5661,0.5661
8,0.5579,0.5496,0.5579,0.5620,0.5496
9,0.4835,0.5537,0.5702,0.5661,0.5661
10,0.5083,0.5599,0.5393,0.5475,0.5517
11,0.5000,0.5496,0.5579,0.5661,0.5496
12,0.5537,0.5620,0.5702,0.5661,0.5744
13,0.5640,0.6136,0.6095,0.5930,0.6054
14,0.5124,0.5558,0.5558,0.5682,0.5558
15,0.5579,0.5785,0.5992,0.5909,0.6157
16,0.5351,0.5620,0.5702,0.5868,0.5950
17,0.5579,0.5661,0.5661,0.5661,0.5702
18,0.5455,0.5517,0.5744,0.5579,0.5702
19,0.6281,0.5847,0.5661,0.5661,0.5744
20,0.5620,0.5331,0.5083,0.5558,0.5207
21,0.5434,0.5517,0.5351,0.5537,0.5331
22,0.5992,0.6074,0.5909,0.5826,0.5992
23,0.5702,0.5950,0.5496,0.5413,0.5455
24,0.5868,0.6198,0.5826,0.6240,0.5744
25,0.5888,0.5992,0.6446,0.6281,0.5909
26,0.5620,0.6074,0.5764,0.5682,0.5930
27,0.6364,0.5702,0.5909,0.6157,0.5847
28,0.6240,0.5661,0.5744,0.6198,0.6240
29,0.6116,0.5785,0.5702,0.6116,0.5826
30,0.6157,0.5992,0.6240,0.6405,0.6074
31,0.6074,0.6157,0.5826,0.5744,0.5620
32,0.6074,0.5868,0.5950,0.5702,0.5620
33,0.6136,0.5950,0.5785,0.5413,0.5868
34,0.6198,0.6033,0.6116,0.5826,0.5826
35,0.6116,0.6240,0.5496,0.6054,0.5537
36,0.6198,0.6178,0.5702,0.6074,0.5537
37,0.5702,0.5930,0.6157,0.6281,0.5909
38,0.6240,0.6116,0.6136,0.6281,0.6219
39,0.6157,0.6488,0.6157,0.5785,0.5950
40,0.5950,0.6446,0.6405,0.6818,0.6446
41,0.5537,0.5909,0.6033,0.6364,0.6198
42,0.6095,0.6198,0.6405,0.6116,0.6033
43,0.6529,0.6426,0.6529,0.6240,0.6240
44,0.6260,0.5930,0.6116,0.6054,0.5888
45,0.6364,0.6012,0.6198,0.6157,0.5930
46,0.6157,0.5702,0.5909,0.6405,0.5744
47,0.6281,0.5661,0.6322,0.6240,0.5950
48,0.6095,0.6095,0.6550,0.6446,0.6550
49,0.6322,0.6426,0.6798,0.6653,0.6674
50,0.6446,0.5888,0.6281,0.6302,0.6198
51,0.6240,0.5289,0.5661,0.5992,0.5620
52,0.6240,0.5723,0.6178,0.6570,0.6405
53,0.6054,0.5640,0.6343,0.6384,0.5579
54,0.6157,0.5826,0.6116,0.6612,0.6322
55,0.5826,0.6219,0.6157,0.6446,0.6074
56,0.6364,0.6240,0.6116,0.6612,0.6074
57,0.6364,0.6364,0.6446,0.6302,0.6116
58,0.6488,0.6219,0.6446,0.6529,0.6281
59,0.6405,0.6343,0.6860,0.6570,0.6116
60,0.6529,0.5909,0.6508,0.6488,0.5826
61,0.6198,0.6219,0.6343,0.6632,0.6116
62,0.6157,0.6136,0.6033,0.6488,0.5826
63,0.6529,0.6467,0.6777,0.7004,0.6570
64,0.5744,0.6157,0.6157,0.6488,0.6446
65,0.6074,0.5950,0.6488,0.6157,0.6364
66,0.6157,0.6446,0.6405,0.5826,0.6116
67,0.6054,0.6157,0.6281,0.6157,0.6322
68,0.6322,0.6405,0.6364,0.6116,0.6529
69,0.6529,0.6178,0.6302,0.6983,0.6508
70,0.5992,0.6136,0.6612,0.6446,0.6777
71,0.6240,0.6467,0.6488,0.6694,0.6612
72,0.6281,0.6281,0.6529,0.6074,0.6405
73,0.6612,0.6219,0.6488,0.6653,0.6405
74,0.6240,0.6260,0.6033,0.6074,0.6405
75,0.6488,0.6694,0.6612,0.6322,0.6529
76,0.6240,0.6343,0.6219,0.6777,0.6942
77,0.6694,0.6446,0.6653,0.6488,0.6240
78,0.6033,0.6012,0.6446,0.6570,0.6240
79,0.5744,0.6322,0.6860,0.6488,0.6198
80,0.6281,0.6756,0.6405,0.6529,0.7066
81,0.6653,0.6384,0.6653,0.6364,0.6818
82,0.6240,0.6508,0.6198,0.6488,0.6240
83,0.6364,0.6302,0.6281,0.6240,0.6653
84,0.6529,0.5888,0.6116,0.6116,0.6405
85,0.5702,0.6012,0.6240,0.6570,0.6157
86,0.6488,0.6488,0.6488,0.6860,0.6901
87,0.6033,0.6178,0.6033,0.6405,0.6095
88,0.6570,0.6426,0.6736,0.6736,0.7066
89,0.6488,0.6488,0.6074,0.6364,0.6818
90,0.6384,0.6116,0.6116,0.6488,0.6488
91,0.5537,0.6302,0.6095,0.5537,0.6405
92,0.6694,0.6281,0.6736,0.6736,0.6529
93,0.5992,0.6488,0.6508,0.6384,0.6488
94,0.6612,0.6116,0.6570,0.6777,0.6860
95,0.6384,0.6488,0.7314,0.6860,0.6983
96,0.6322,0.6178,0.6570,0.6198,0.6033
97,0.6694,0.6157,0.6653,0.6860,0.6364
98,0.6157,0.6198,0.6529,0.5992,0.5826
99,0.6550,0.6364,0.6446,0.6529,0.6240
100,0.7025,0.5909,0.6963,0.6612,0.6694
101,0.6901,0.6322,0.6694,0.6736,0.6694
102,0.5992,0.6818,0.6405,0.6983,0.6446
103,0.6364,0.6488,0.6364,0.6529,0.7066
104,0.6405,0.6240,0.6529,0.6240,0.6736
105,0.6777,0.6467,0.6860,0.6384,0.6426
106,0.6612,0.6653,0.6818,0.6446,0.6736
107,0.6612,0.6240,0.6694,0.6612,0.6736
108,0.6426,0.6136,0.6446,0.6901,0.6116
109,0.6095,0.6467,0.6839,0.6302,0.6963
110,0.6736,0.6281,0.6570,0.6446,0.6281
111,0.6219,0.6405,0.6529,0.6653,0.6446
112,0.6736,0.6384,0.6860,0.7128,0.6694
113,0.6694,0.6860,0.6529,0.6901,0.6446
114,0.6694,0.6405,0.6860,0.6446,0.6736
115,0.6446,0.6178,0.6983,0.6736,0.6157
116,0.6818,0.6240,0.6529,0.6591,0.6777
117,0.6116,0.6157,0.6612,0.6364,0.6694
118,0.6715,0.6632,0.6777,0.7190,0.6736
119,0.6364,0.6302,0.6736,0.7025,0.6777
120,0.6694,0.6219,0.6860,0.6983,0.6777
121,0.6736,0.6632,0.6570,0.7314,0.7066
122,0.6653,0.6818,0.6860,0.6983,0.7025
