epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.5824,0.5824,0.5824,0.5824,0.5824
2,0.6593,0.6593,0.6593,0.6593,0.6593
3,0.7802,0.7802,0.7802,0.7802,0.7802
4,0.8022,0.8022,0.8022,0.8022,0.8022
5,0.7473,0.7473,0.7473,0.7473,0.7473
6,0.8132,0.8132,0.8132,0.8132,0.8132
7,0.8132,0.8132,0.8132,0.8132,0.8132
8,0.8242,0.8242,0.8242,0.8242,0.8242
9,0.8791,0.8791,0.8791,0.8791,0.8791
10,0.8681,0.8681,0.8681,0.8681,0.8681
11,0.9011,0.9011,0.9011,0.9011,0.9011
12,0.9011,0.9011,0.9011,0.9011,0.9011
13,0.8901,0.8901,0.8901,0.8901,0.8901
14,0.9121,0.9121,0.9121,0.9121,0.9121
15,0.9231,0.9231,0.9231,0.9231,0.9231
16,0.9231,0.9231,0.9121,0.9231,0.9121
17,0.9121,0.9121,0.9121,0.9121,0.9121
18,0.9451,0.9451,0.9451,0.9451,0.9451
19,0.9451,0.9451,0.9451,0.9451,0.9451
20,0.9560,0.9560,0.9560,0.9560,0.9451
21,0.9451,0.9451,0.9451,0.9451,0.9451
22,0.9670,0.9670,0.9670,0.9670,0.9780
23,0.9560,0.9560,0.9560,0.9560,0.9560
24,0.9451,0.9451,0.9451,0.9451,0.9451
25,0.9670,0.9670,0.9670,0.9670,0.9670
26,0.9560,0.9560,0.9560,0.9560,0.9451
27,0.9890,0.9890,0.9890,0.9890,0.9890
28,0.9560,0.9560,0.9560,0.9560,0.9560
29,0.9780,0.9780,0.9780,0.9780,0.9780
30,0.9560,0.9560,0.9560,0.9560,0.9560
31,0.9780,0.9780,0.9780,0.9780,0.9780
32,0.9451,0.9451,0.9451,0.9451,0.9451
33,0.9780,0.9780,0.9780,0.9780,0.9780
34,0.9451,0.9451,0.9451,0.9451,0.9451
35,0.9451,0.9451,0.9560,0.9451,0.9670
36,0.9341,0.9451,0.9451,0.9341,0.9451
37,0.9560,0.9560,0.9560,0.9560,0.9560
38,0.9890,0.9890,0.9890,0.9890,0.9890
39,0.9670,0.9670,0.9670,0.9670,0.9670
40,0.9451,0.9451,0.9341,0.9451,0.9341
41,0.9341,0.9341,0.9451,0.9341,0.9560
42,0.9780,0.9780,0.9780,0.9780,0.9890
43,0.9670,0.9670,0.9780,0.9670,0.9780
44,0.9560,0.9560,0.9560,0.9560,0.9451
