epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4583,0.5833,0.5833,0.5833,0.5833
2,0.6389,0.5556,0.5556,0.5556,0.5556
3,0.7083,0.6250,0.6528,0.6389,0.6111
4,0.6389,0.5556,0.4444,0.5417,0.3750
5,0.6250,0.6944,0.6667,0.6944,0.6667
6,0.6111,0.6667,0.6389,0.6944,0.6389
7,0.5833,0.7361,0.6944,0.7222,0.6667
8,0.5694,0.7083,0.5278,0.6806,0.5556
9,0.6806,0.6667,0.4861,0.5000,0.5556
10,0.5972,0.6944,0.6528,0.7500,0.7083
11,0.5972,0.6389,0.6111,0.6528,0.5972
12,0.5694,0.6806,0.7222,0.6944,0.6389
13,0.6389,0.8056,0.7500,0.8056,0.7361
14,0.6806,0.7083,0.6806,0.7917,0.7639
15,0.5694,0.6667,0.7361,0.8194,0.6528
16,0.7222,0.8056,0.8056,0.7917,0.6944
17,0.7222,0.7917,0.7500,0.8194,0.7222
18,0.7778,0.8056,0.7917,0.8611,0.7917
19,0.5556,0.7500,0.7917,0.8194,0.7083
20,0.6944,0.8403,0.7361,0.8194,0.7500
21,0.7778,0.8056,0.6944,0.8472,0.7639
22,0.7222,0.8958,0.7917,0.8333,0.6944
23,0.6806,0.8681,0.8333,0.8611,0.8194
24,0.6944,0.8056,0.8472,0.8889,0.7083
25,0.7917,0.8611,0.8194,0.8194,0.7639
26,0.8611,0.8889,0.8056,0.8472,0.7361
27,0.6528,0.8333,0.7361,0.8472,0.6944
28,0.7639,0.8611,0.8611,0.8611,0.8333
29,0.7639,0.9167,0.8333,0.8750,0.8472
30,0.7778,0.8403,0.8333,0.8750,0.8333
31,0.8056,0.8194,0.8750,0.8750,0.8750
32,0.8333,0.8889,0.8333,0.8889,0.8333
33,0.7778,0.8472,0.8750,0.8194,0.7778
34,0.8056,0.8472,0.8611,0.9583,0.8056
35,0.7708,0.8750,0.9167,0.9167,0.8472
36,0.8333,0.9028,0.9028,0.9167,0.8472
37,0.8611,0.9028,0.8889,0.8472,0.8194
38,0.8056,0.8472,0.9167,0.8889,0.9167
39,0.8611,0.9306,0.8889,0.8611,0.8333
40,0.8194,0.8333,0.8611,0.8333,0.8056
41,0.7917,0.9167,0.8750,0.9306,0.8472
42,0.7083,0.8889,0.9444,0.9167,0.8611
43,0.8333,0.9444,0.8611,0.9167,0.8611
44,0.8472,0.9028,0.8472,0.9028,0.7778
45,0.8889,0.9028,0.9444,0.9444,0.8472
46,0.8194,0.9028,0.9306,0.8472,0.8611
47,0.8611,0.9306,0.9028,0.9167,0.8472
48,0.8056,0.9306,0.9444,0.8889,0.8611
49,0.8889,0.8750,0.9167,0.9306,0.8611
50,0.8750,0.9861,0.9028,0.9167,0.9167
51,0.8611,0.9514,0.9167,0.8611,0.8472
52,0.8472,0.9306,0.8889,0.8750,0.8611
53,0.9167,0.9167,0.8889,0.9028,0.8889
54,0.8611,0.9444,0.9028,0.9028,0.8750
55,0.8611,0.9167,0.9167,0.8333,0.8750
56,0.8889,0.9028,0.9444,0.9722,0.8194
57,0.8750,0.8889,0.9306,0.9306,0.9028
58,0.8194,0.9583,0.9583,0.9167,0.8750
59,0.8472,0.9444,0.9167,0.9167,0.9028
60,0.8472,0.9861,0.9167,0.9306,0.8611
61,0.8750,0.9583,0.9306,0.9167,0.9306
62,0.9306,0.9306,0.9444,0.9444,0.8472
63,0.8889,0.9167,0.9583,0.9583,0.9306
64,0.9583,0.9722,0.9306,0.9583,0.9306
65,0.8750,0.9444,0.9722,0.9583,0.9306
66,0.8611,0.9306,0.9028,0.9444,0.8472
67,0.9306,0.9444,0.9792,0.9583,0.9583
68,0.8889,0.9444,0.9167,0.9444,0.8333
69,0.8611,0.9722,0.9861,0.9583,0.9167
70,0.9444,0.9583,0.8611,0.9444,0.8750
71,0.8472,0.9722,0.9583,0.9583,0.9306
72,0.9306,0.9583,0.9722,0.9444,0.9028
73,0.8889,0.9444,0.9444,0.9722,0.9167
74,0.8611,0.9583,0.9306,0.9306,0.8889
75,0.9167,0.9722,0.9722,0.9861,0.9167
76,0.8889,0.9583,0.9444,0.9444,0.9306
77,0.9028,0.9722,0.9444,0.9306,0.9028
78,0.9167,0.9722,0.9583,0.9306,0.8889
79,0.9583,0.9444,0.9583,0.9306,0.8750
80,0.8889,0.9444,0.9444,0.9444,0.9306
81,0.9167,0.9306,0.9583,0.9583,0.9167
82,0.9306,0.9583,0.9583,0.9167,0.9306
83,0.8889,0.9444,0.9167,0.9861,0.8750
84,0.8889,0.9722,0.9306,0.9583,0.8889
85,0.9722,0.9861,0.9583,0.9722,0.9167
86,0.8889,0.9583,0.9722,0.9861,0.9444
87,0.9167,0.9722,0.9444,0.9722,0.9167
88,0.9583,0.9444,0.9583,0.9583,0.9444
89,0.8611,0.9444,0.9444,0.9306,0.9167
90,0.9583,0.9861,0.9722,0.9722,0.9722
91,0.9306,0.9583,0.9583,0.9722,0.9444
92,0.9167,0.9722,0.9583,0.9722,0.9306
93,0.9028,0.9583,0.9028,0.9306,0.8750
94,0.9583,0.9583,0.9444,0.9583,0.8750
95,0.8750,0.9444,0.9861,0.9861,0.9444
96,0.9306,0.9861,0.9861,0.9583,0.9722
97,0.9306,0.9722,0.9306,0.9583,0.9306
98,0.9583,0.9583,0.8750,0.9861,0.9306
99,0.9444,0.9583,0.9722,0.9861,0.9583
100,0.8750,0.9861,0.9583,0.9583,0.9167
101,0.9861,0.9861,0.9306,0.9722,0.9167
102,0.9306,0.9583,0.9722,0.9444,0.9583
103,0.9028,0.9722,0.9583,0.9722,0.9722
104,0.9861,0.9306,0.9444,0.9306,0.9722
105,0.9167,0.9583,0.9861,1.0000,0.9306
106,0.9444,0.9861,0.9722,0.9861,0.9306
107,0.9583,0.9583,0.9722,0.9722,0.9444
108,0.9375,0.9722,0.9722,0.9861,0.9306
109,0.9444,0.9722,0.9722,0.9583,0.9306
110,0.9583,0.9583,0.9722,0.9722,0.9028
111,0.9722,0.9861,1.0000,0.9583,0.9444
112,0.9444,1.0000,0.9444,0.9583,0.9444
113,0.9444,0.9861,0.9583,0.9722,0.9306
114,0.9861,0.9444,1.0000,0.9861,0.9861
