epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.5385,0.5385,0.5385,0.5385,0.5385
2,0.4835,0.4835,0.4835,0.4835,0.4725
3,0.5495,0.6044,0.5165,0.5495,0.5495
4,0.6264,0.5934,0.5824,0.6374,0.5495
5,0.6593,0.5934,0.6374,0.7143,0.6703
6,0.6154,0.6154,0.6923,0.5714,0.6923
7,0.5495,0.7033,0.6484,0.5275,0.6264
8,0.6923,0.6813,0.5824,0.5604,0.6264
9,0.6593,0.7033,0.5275,0.5495,0.6484
10,0.6813,0.6703,0.5165,0.6923,0.7802
11,0.7143,0.7802,0.6154,0.5604,0.7143
12,0.7198,0.7253,0.6044,0.6484,0.7088
13,0.6374,0.7253,0.6264,0.6813,0.7143
14,0.6813,0.6703,0.6703,0.6703,0.7033
15,0.6154,0.7473,0.7253,0.7143,0.7802
16,0.7143,0.7143,0.6813,0.7033,0.7473
17,0.7253,0.8352,0.6264,0.6923,0.7363
18,0.7363,0.7473,0.7143,0.5934,0.6923
19,0.7473,0.7143,0.7802,0.7473,0.7802
20,0.7363,0.7802,0.7692,0.7143,0.7582
21,0.7912,0.8022,0.7363,0.7253,0.8242
22,0.7033,0.8242,0.7143,0.6703,0.7363
23,0.7912,0.8352,0.7253,0.7473,0.8571
24,0.7363,0.8571,0.7253,0.6813,0.8352
25,0.7253,0.7912,0.8022,0.7363,0.8901
26,0.8132,0.8132,0.7582,0.7912,0.8901
27,0.6923,0.7143,0.6923,0.7363,0.8132
28,0.8022,0.8462,0.7912,0.7582,0.9231
29,0.8022,0.8352,0.8352,0.7692,0.9231
30,0.8242,0.8352,0.7582,0.7582,0.9011
31,0.8077,0.8791,0.7253,0.7363,0.9121
32,0.8077,0.8462,0.7473,0.7473,0.8791
33,0.8022,0.7692,0.8242,0.7473,0.8901
34,0.8132,0.8571,0.7692,0.7473,0.9121
35,0.7692,0.8571,0.8132,0.8132,0.8242
36,0.8132,0.8791,0.7802,0.7033,0.9011
37,0.7802,0.8681,0.8132,0.7802,0.8901
38,0.7692,0.9011,0.8022,0.7692,0.8791
39,0.8462,0.8791,0.8022,0.9011,0.8791
40,0.8626,0.8681,0.7802,0.8352,0.9121
41,0.8132,0.8242,0.8132,0.8242,0.9121
42,0.8022,0.9011,0.8132,0.8242,0.9011
43,0.8571,0.8462,0.8242,0.8462,0.9121
44,0.7802,0.9231,0.7692,0.8462,0.8791
45,0.7692,0.9011,0.8352,0.8352,0.9451
46,0.8022,0.8681,0.8022,0.7912,0.9231
47,0.8462,0.9011,0.8462,0.8242,0.8901
48,0.8242,0.8791,0.7692,0.7582,0.9121
49,0.8352,0.8901,0.8571,0.8132,0.9121
50,0.8571,0.8462,0.8132,0.8352,0.9560
51,0.8462,0.9341,0.8352,0.8242,0.8681
52,0.8242,0.9121,0.8022,0.8571,0.9121
53,0.8022,0.9451,0.8462,0.7582,0.8901
54,0.8791,0.8901,0.8571,0.8571,0.9451
55,0.8462,0.8681,0.8132,0.7802,0.9451
56,0.8462,0.8901,0.8132,0.8462,0.9670
57,0.8681,0.9560,0.8462,0.8352,0.9121
58,0.8571,0.9121,0.8242,0.7912,0.8901
59,0.8462,0.9121,0.8022,0.8791,0.9670
60,0.8352,0.9231,0.8571,0.7802,0.9011
61,0.8901,0.9560,0.8571,0.8681,0.9341
62,0.8022,0.9451,0.8901,0.8571,0.9231
63,0.8681,0.9011,0.8681,0.8791,0.9670
64,0.8462,0.9670,0.9011,0.9231,0.9560
65,0.8681,0.9231,0.9011,0.8791,0.9670
66,0.8681,0.9231,0.8791,0.9011,0.9231
67,0.8352,0.9341,0.8242,0.8791,0.9231
68,0.8901,0.9341,0.8791,0.8571,0.9670
69,0.9121,0.9341,0.8681,0.8901,0.9341
70,0.8462,0.9451,0.8901,0.8571,0.9451
71,0.8132,0.9341,0.8462,0.8901,0.9780
72,0.8901,0.9560,0.9231,0.8681,0.9451
73,0.8901,0.9231,0.8462,0.8791,0.9560
74,0.9231,0.9451,0.9341,0.8791,0.9560
75,0.8571,0.9341,0.8681,0.8791,0.9560
76,0.8571,0.9560,0.8791,0.9121,0.9670
77,0.8132,0.9231,0.8462,0.8132,0.9231
78,0.9011,0.9451,0.8901,0.8681,0.9451
79,0.8242,0.9121,0.8462,0.9121,0.9780
80,0.8462,0.9451,0.8901,0.8901,0.9890
81,0.8736,0.9451,0.8901,0.9231,0.9341
82,0.8352,0.9231,0.8901,0.8901,0.9670
83,0.8352,0.9670,0.8681,0.9121,0.9451
84,0.8791,0.9011,0.9121,0.8791,0.9560
85,0.8681,0.9451,0.8571,0.9121,0.9780
86,0.8352,0.9670,0.9121,0.9451,0.9670
87,0.8571,0.9231,0.8681,0.9231,0.9341
88,0.8462,0.9670,0.9341,0.8901,0.9890
89,0.8242,0.9341,0.8791,0.8791,0.9121
90,0.7692,0.9341,0.8791,0.8681,0.9231
91,0.8571,0.9451,0.9011,0.9011,0.9670
92,0.8791,0.9231,0.8791,0.8352,0.9451
93,0.8242,0.9560,0.8462,0.8901,0.9780
94,0.8681,0.9560,0.8791,0.8901,0.9780
95,0.8901,0.9341,0.8571,0.8901,0.9780
96,0.8462,0.9670,0.9451,0.9231,0.9780
97,0.9011,0.9560,0.9011,0.9451,0.9780
98,0.9011,0.9451,0.8901,0.9011,0.9780
99,0.8681,0.9341,0.8791,0.8901,0.9890
100,0.8901,0.9341,0.9011,0.8791,0.9670
101,0.8352,0.9670,0.8681,0.8352,0.9670
102,0.9121,0.9560,0.9231,0.8901,0.9560
103,0.9121,0.9560,0.8791,0.8791,0.9341
104,0.9011,0.9560,0.9341,0.9341,0.9780
105,0.8462,0.9341,0.9286,0.9231,0.9670
106,0.9121,0.9451,0.9121,0.9231,0.9780
107,0.8901,0.9451,0.9121,0.9121,0.9780
108,0.8901,0.9890,0.9341,0.9341,0.9780
109,0.8791,0.9560,0.8901,0.9670,0.9890
110,0.8681,0.9231,0.9341,0.9341,0.9341
111,0.8901,0.9560,0.9451,0.8901,0.9890
112,0.8571,0.9560,0.9121,0.9231,0.9451
113,0.8681,0.9780,0.8571,0.9451,0.9780
114,0.8901,0.9560,0.9121,0.8901,0.9670
115,0.8681,0.9341,0.8791,0.9231,0.9560
116,0.9011,0.9670,0.9121,0.9451,0.9890
117,0.9011,0.9780,0.8901,0.9670,0.9670
118,0.8352,0.9670,0.9341,0.9121,0.9670
119,0.8681,0.9341,0.8901,0.9231,0.9780
120,0.9011,0.9560,0.9341,0.9451,0.9560
