epoch,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5
1,0.4780,0.4780,0.4780,0.4780,0.4780
2,0.4451,0.4341,0.4341,0.4341,0.4341
3,0.6044,0.5385,0.5165,0.5385,0.5495
4,0.6154,0.5495,0.5824,0.5714,0.6264
5,0.6154,0.5604,0.4615,0.6154,0.5934
6,0.6593,0.6264,0.4945,0.5879,0.5165
7,0.6813,0.6154,0.5385,0.6209,0.6209
8,0.6264,0.6264,0.6209,0.6044,0.6374
9,0.4725,0.6154,0.6758,0.5824,0.7088
10,0.5604,0.6154,0.6374,0.6484,0.6209
11,0.5275,0.5989,0.6154,0.6264,0.6648
12,0.4505,0.6593,0.6154,0.6429,0.6868
13,0.5110,0.5604,0.5549,0.6374,0.6538
14,0.5934,0.5604,0.5220,0.6044,0.6538
15,0.5275,0.6758,0.6209,0.6154,0.6593
16,0.5604,0.6374,0.6868,0.5604,0.7253
17,0.4945,0.6813,0.6758,0.6538,0.7418
18,0.6044,0.6264,0.6154,0.6484,0.7033
19,0.6264,0.6593,0.5604,0.6868,0.6538
20,0.6484,0.6868,0.6593,0.6648,0.7637
21,0.5604,0.6978,0.6154,0.7033,0.7527
22,0.6593,0.6484,0.6044,0.6978,0.7473
23,0.5934,0.6154,0.6374,0.6813,0.6978
24,0.6044,0.6813,0.5879,0.7253,0.7582
25,0.5714,0.6044,0.7253,0.6703,0.7637
26,0.5495,0.6374,0.7143,0.6813,0.7363
27,0.6154,0.6648,0.6703,0.7692,0.8462
28,0.6044,0.6374,0.7033,0.7143,0.8407
29,0.6484,0.6264,0.6813,0.7363,0.7747
30,0.6813,0.6813,0.7692,0.7802,0.8352
31,0.7308,0.7253,0.7253,0.7253,0.8297
32,0.6923,0.6813,0.7253,0.7253,0.7912
33,0.6923,0.7033,0.7692,0.7253,0.8242
34,0.6484,0.7143,0.7473,0.7473,0.8022
35,0.6484,0.7253,0.7253,0.7582,0.7692
36,0.7692,0.6154,0.6154,0.7582,0.8407
37,0.7582,0.7692,0.6813,0.7473,0.8626
38,0.7033,0.7143,0.6703,0.7253,0.7912
39,0.6538,0.7253,0.7033,0.8132,0.8022
40,0.7692,0.7582,0.7967,0.7473,0.8462
41,0.7912,0.6484,0.7582,0.7802,0.8297
42,0.7363,0.6923,0.7582,0.8132,0.8791
43,0.7582,0.7033,0.7033,0.8022,0.8077
44,0.7033,0.6923,0.7692,0.8022,0.8462
45,0.7912,0.7473,0.7363,0.7912,0.8187
46,0.7363,0.7033,0.7802,0.8242,0.8407
47,0.7802,0.8022,0.7582,0.8022,0.8132
48,0.7912,0.7857,0.7033,0.8462,0.8626
49,0.8352,0.7143,0.7473,0.8681,0.8626
50,0.8187,0.7253,0.7143,0.7692,0.8626
51,0.7912,0.7363,0.7143,0.7582,0.8626
52,0.7747,0.7692,0.6593,0.8132,0.8462
53,0.8242,0.7802,0.7363,0.8242,0.8132
54,0.8626,0.7473,0.7912,0.7912,0.8571
55,0.7802,0.7253,0.7143,0.7912,0.8242
56,0.8571,0.8022,0.7033,0.7912,0.8462
57,0.7582,0.7033,0.7473,0.9011,0.8516
58,0.7692,0.7473,0.7802,0.8571,0.8352
59,0.8022,0.7473,0.7802,0.8022,0.8242
60,0.8077,0.6703,0.7033,0.8352,0.8846
61,0.7582,0.7582,0.7363,0.8571,0.8242
62,0.7747,0.7692,0.7033,0.8462,0.7857
63,0.7747,0.7473,0.7692,0.8242,0.8077
64,0.7527,0.7033,0.7143,0.8901,0.8242
65,0.8022,0.7802,0.7253,0.8132,0.8516
66,0.8022,0.8132,0.8022,0.8352,0.8681
67,0.8352,0.7802,0.8352,0.8242,0.8681
68,0.8242,0.7912,0.8352,0.8462,0.8516
69,0.8077,0.7802,0.8571,0.8901,0.8681
