epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,1.1168,1.1167,1.1167,1.1167,1.1168
2,0.5994,0.5994,0.5994,0.5994,0.5994
3,0.4572,0.4572,0.4572,0.4572,0.4571
4,0.2810,0.2810,0.2810,0.2809,0.2810
5,0.6980,0.6980,0.6979,0.6980,0.6979
6,0.2514,0.2514,0.2513,0.2514,0.2513
7,0.1550,0.1549,0.1550,0.1549,0.1551
8,0.1821,0.1821,0.1822,0.1822,0.1821
9,0.1044,0.1043,0.1046,0.1043,0.1050
10,0.3170,0.3173,0.3169,0.3174,0.3161
11,0.1336,0.1335,0.1337,0.1334,0.1342
12,0.1517,0.1516,0.1522,0.1516,0.1529
13,0.5248,0.5254,0.5296,0.5259,0.5331
14,0.2866,0.2868,0.2855,0.2869,0.2837
15,0.1129,0.1128,0.1131,0.1127,0.1137
16,0.1316,0.1315,0.1328,0.1315,0.1345
17,0.5838,0.5833,0.5829,0.5830,0.5823
18,0.0440,0.0441,0.0432,0.0441,0.0420
19,0.4984,0.4986,0.4996,0.4987,0.5010
20,0.2949,0.2946,0.2953,0.2945,0.2970
21,0.2191,0.2190,0.2242,0.2190,0.2313
22,0.1623,0.1627,0.1587,0.1627,0.1550
23,0.4410,0.4414,0.4398,0.4418,0.4378
24,0.1035,0.1037,0.0993,0.1038,0.0946
25,0.0593,0.0593,0.0585,0.0592,0.0578
26,0.1984,0.1988,0.1936,0.1988,0.1886
27,0.1061,0.1063,0.1045,0.1064,0.1025
28,0.1752,0.1754,0.1740,0.1754,0.1721
29,0.1457,0.1454,0.1488,0.1453,0.1541
30,0.0304,0.0303,0.0302,0.0303,0.0305
31,0.0493,0.0493,0.0495,0.0493,0.0502
32,0.0233,0.0233,0.0233,0.0233,0.0230
33,0.0682,0.0682,0.0682,0.0681,0.0677
34,0.0386,0.0387,0.0375,0.0387,0.0364
35,0.1244,0.1242,0.1203,0.1242,0.1179
36,0.0447,0.0445,0.0397,0.0444,0.0380
37,0.0381,0.0380,0.0372,0.0379,0.0373
38,0.0380,0.0379,0.0370,0.0378,0.0372
39,0.0449,0.0447,0.0434,0.0446,0.0436
40,0.1315,0.1315,0.1181,0.1313,0.1114
41,0.0455,0.0454,0.0446,0.0454,0.0429
42,0.0700,0.0704,0.0749,0.0706,0.0719
43,0.0592,0.0591,0.0551,0.0591,0.0532
44,0.1177,0.1180,0.1225,0.1182,0.1232
45,0.1013,0.1009,0.0923,0.1007,0.0910
46,0.0943,0.0940,0.0966,0.0941,0.0987
47,0.0643,0.0641,0.0682,0.0642,0.0713
48,0.0969,0.0961,0.0908,0.0955,0.0904
49,0.1168,0.1165,0.1151,0.1163,0.1188
50,0.2004,0.2005,0.1794,0.1999,0.1721
51,0.0554,0.0561,0.0698,0.0565,0.0655
52,0.0445,0.0445,0.0457,0.0446,0.0456
53,0.0122,0.0122,0.0120,0.0122,0.0122
54,0.0459,0.0459,0.0431,0.0457,0.0461
55,0.0265,0.0266,0.0251,0.0266,0.0241
56,0.0128,0.0129,0.0139,0.0130,0.0135
57,0.0409,0.0412,0.0445,0.0414,0.0442
58,0.4924,0.4924,0.4871,0.4921,0.4920
59,0.0346,0.0346,0.0362,0.0348,0.0368
60,0.0391,0.0391,0.0380,0.0391,0.0381
61,0.0615,0.0617,0.0637,0.0619,0.0641
62,0.0562,0.0564,0.0611,0.0567,0.0609
63,0.0116,0.0115,0.0114,0.0115,0.0116
64,0.1409,0.1415,0.1167,0.1407,0.1106
65,0.1273,0.1273,0.1268,0.1275,0.1274
66,0.0537,0.0538,0.0557,0.0539,0.0565
67,0.0289,0.0292,0.0324,0.0293,0.0339
68,0.0300,0.0299,0.0292,0.0299,0.0294
69,0.0240,0.0241,0.0239,0.0241,0.0239
