epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,1.0755,1.0753,1.0753,1.0753,1.0753
2,0.7776,0.7782,0.7781,0.7781,0.7782
3,1.3327,1.3238,1.3252,1.3250,1.3235
4,1.0039,1.0032,1.0035,1.0041,1.0037
5,1.1270,1.3724,1.3614,1.3657,1.3783
6,1.1488,1.0875,1.0987,1.1036,1.0913
7,0.9761,1.3178,1.4282,1.3353,1.3107
8,1.0012,0.6462,0.6921,0.6485,0.7381
9,0.6916,0.9143,0.8716,0.7421,0.5585
10,0.5616,0.9678,0.8532,0.7688,0.7184
11,0.5497,0.8210,0.8493,0.8990,0.9298
12,1.0051,0.5947,1.0779,0.9301,0.7945
13,0.5766,0.7908,0.6845,0.9568,0.4220
14,0.7250,1.1045,1.1308,0.7628,1.0220
15,0.3070,0.5419,0.6789,0.6373,0.5859
16,0.9206,1.1221,1.0841,1.1019,0.9524
17,0.6877,0.6553,0.6314,0.7504,0.9335
18,0.5422,0.6803,0.7300,0.7746,0.5121
19,0.4236,0.9588,1.5239,1.3613,0.9644
20,0.5260,1.4867,0.7658,0.6745,1.0016
21,0.4730,0.4059,0.4614,0.4824,1.1887
22,0.4124,0.6023,0.3222,0.5777,0.5104
23,0.3285,0.6312,0.5487,0.3402,0.5197
24,0.9490,0.8354,0.7702,0.7810,0.9646
25,0.4885,0.6386,0.5520,0.5126,1.0362
26,0.5492,0.9328,0.3543,0.5626,0.8512
27,0.4885,0.3865,0.5305,0.4788,0.8654
28,0.3733,0.3186,0.5819,0.5289,0.6197
29,0.4339,0.4516,0.3881,0.2145,0.3775
30,0.5151,0.5164,0.6699,0.6550,0.4389
31,1.1034,0.9653,1.0963,0.9583,0.4903
32,0.4901,0.5690,0.5342,0.4511,0.4220
33,0.6267,0.7271,0.6270,0.5977,0.9030
34,0.1242,0.5551,0.4441,0.2555,0.3596
35,0.3182,0.8730,0.3886,0.4767,0.6353
36,0.2246,0.6632,0.5187,0.4654,0.5811
37,0.3681,0.9324,0.4085,0.3035,0.2775
38,0.6544,0.3582,0.5356,0.5752,0.5740
39,0.3475,0.6980,0.6144,0.2579,0.6963
40,0.5578,0.7681,0.7075,0.6223,0.7712
41,0.4594,0.6609,0.3197,0.2187,0.3928
42,0.5470,0.3695,0.5663,0.2642,0.5329
43,0.2629,0.3175,0.4280,0.3786,0.3908
44,0.4531,0.3180,0.6047,0.3198,0.4613
45,0.3544,0.8962,0.3702,0.5268,0.4103
46,0.2641,0.8262,0.6147,0.4516,0.4311
47,0.1282,0.4566,0.2036,0.2119,0.3639
48,0.2695,0.8278,0.3673,0.7212,0.2790
49,0.7157,0.5362,0.7022,0.4093,0.4672
50,0.2027,0.2468,0.5008,0.2864,0.7398
51,0.4655,0.5225,0.5587,0.4007,0.2616
52,0.6782,0.6282,0.5101,0.3663,0.5740
53,0.6479,0.7118,0.4156,0.2817,0.3624
54,0.3251,0.6396,0.5228,0.5062,0.4228
55,0.5146,0.3171,0.5645,0.3692,0.9292
56,0.4570,1.1348,0.7091,0.5282,0.6156
57,0.3797,0.9971,0.5206,0.8664,0.6631
58,0.6830,0.5571,0.8027,0.5756,0.2350
59,0.2143,0.1922,0.2215,0.3510,0.3956
60,0.4519,0.7683,0.8946,0.6904,0.4782
61,0.5154,0.2983,0.5664,0.6047,0.3253
62,0.7498,0.5927,0.5632,0.2986,0.4897
63,0.4259,0.7928,0.3471,0.4058,0.4904
64,0.3934,0.3916,0.5219,0.4327,0.3305
65,0.1774,0.3528,0.2817,0.5103,0.4149
66,0.1619,0.2845,0.3592,0.2627,0.2783
67,0.1461,0.3860,0.3354,0.3155,0.1173
68,0.3367,0.3445,0.1888,0.2129,0.1600
69,0.5236,0.1404,0.1776,0.3574,0.2909
70,0.4167,0.3125,0.2992,0.2010,0.3538
71,0.1937,0.2078,0.4052,0.2687,0.3158
72,0.4099,0.5196,0.7436,0.8134,0.4334
73,0.3476,0.4000,0.1720,0.1459,0.2429
74,0.4194,0.3863,0.2652,0.3897,0.3544
75,0.4468,0.3210,0.4492,0.4209,0.6473
76,0.4951,0.3041,0.6573,0.3967,0.2583
77,0.2313,0.2859,0.3288,0.2648,0.1533
78,0.4821,1.0888,0.4923,0.3722,0.5013
79,0.7166,0.3514,0.3136,0.3488,0.3457
80,0.5427,0.5408,0.2088,0.0973,0.4693
81,0.4625,0.4831,0.6027,0.2987,0.7201
82,0.4441,0.4328,0.5125,0.2281,0.6800
83,0.6443,1.0654,0.3422,0.3931,0.4080
84,0.3790,0.3385,0.2337,0.3533,0.3305
85,0.2928,0.7278,0.7824,0.3061,0.5516
86,0.3615,0.5968,0.5035,0.1964,0.4910
87,0.1596,0.3692,0.1528,0.1870,0.1644
88,0.3459,0.3170,0.4345,0.2342,0.1729
89,0.2477,0.0906,0.2710,0.1460,0.2189
90,0.1399,0.2973,0.5178,0.2656,0.1640
91,0.3306,0.2370,0.2129,0.1142,0.1961
92,0.5733,0.8437,0.4745,0.6557,0.3837
93,0.4142,0.7757,0.1503,0.4046,0.1554
94,0.3625,0.4387,0.2904,0.4262,0.3679
95,0.4588,0.1426,0.4085,0.2664,0.4061
96,0.1400,0.2613,0.1669,0.1008,0.5034
97,0.4344,0.1942,0.3804,0.4409,0.4396
98,0.3575,0.1883,0.3257,0.0894,0.2111
99,0.2185,0.3404,0.2690,0.2173,0.5417
100,0.2330,0.2631,0.2556,0.1913,0.1025
101,0.1134,0.2969,0.2372,0.2762,0.2022
102,0.1992,0.2841,0.2340,0.2537,0.4826
103,0.2115,0.2417,0.3109,0.1668,0.2750
104,0.1304,0.1880,0.4185,0.0864,0.5325
105,0.6904,0.4348,0.4670,0.4255,0.3691
106,0.3984,0.1661,0.4078,0.1256,0.1946
107,0.3020,0.3426,0.3571,0.4631,0.3876
108,0.2696,0.3380,0.4264,0.4188,0.4284
109,0.2095,0.3550,0.1549,0.1770,0.1857
110,0.2540,0.3027,0.3809,0.0890,0.2154
111,0.4333,0.3269,0.4532,0.2549,0.2375
112,0.4643,0.1906,0.2594,0.3083,0.2047
113,0.1670,0.4256,0.2093,0.2463,0.2208
114,0.2309,0.3321,0.4725,0.1933,0.3278
115,0.2780,0.0840,0.5566,0.1611,0.2422
116,0.6180,0.4298,0.3836,0.2746,0.1646
117,0.1332,0.2369,0.2188,0.0682,0.1859
118,0.0807,0.4673,0.3875,0.1163,0.1825
119,0.1837,0.1321,0.4461,0.1031,0.1935
120,0.1446,0.1051,0.1427,0.0542,0.3701
