epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,1.2764,1.8204,1.8186,1.8197,1.8160
2,0.3218,0.6988,0.6871,0.6931,0.6901
3,0.2844,0.8307,0.9108,0.9096,0.9780
4,0.9663,0.9041,2.2861,1.5449,1.9553
5,0.7108,0.5907,0.2608,0.0629,0.3732
6,0.6752,0.3853,0.3966,0.6860,0.3458
7,0.1748,0.3651,0.7264,1.1762,1.3201
8,0.3856,1.0892,1.5859,1.2122,0.5594
9,0.2972,0.5225,0.3857,1.6907,0.7532
10,2.2104,0.3124,0.7099,0.3014,0.9746
11,0.3893,0.4207,1.3705,0.2474,0.6263
12,0.1387,0.6464,0.4318,0.7311,0.9371
13,0.2395,0.3451,0.2970,0.4619,0.3989
14,0.7302,0.5802,0.5519,1.0243,0.3593
15,1.1760,0.4076,0.4549,0.4175,0.8245
16,0.8340,0.3905,0.4959,0.4155,0.4445
17,0.6128,0.3803,0.8208,0.0615,0.6685
18,0.9784,0.1485,0.5209,0.1074,1.2611
19,1.4928,0.3349,0.1056,0.0420,1.1037
20,1.3046,0.6759,0.3762,0.1841,0.5407
21,1.1700,0.0390,0.4857,0.1314,0.2460
22,0.4449,0.0959,0.2305,0.1125,0.3396
23,1.0137,0.0830,0.1581,0.1897,0.5306
24,0.2945,0.2898,0.1957,0.1067,0.4090
25,0.5710,0.1427,0.7976,0.6879,0.3610
26,0.2454,0.1796,0.8685,0.2448,0.4501
27,0.6695,0.2207,0.2459,0.3547,0.2426
28,1.0792,0.3785,0.3525,0.8222,0.3316
29,0.9214,0.2603,0.6333,0.3638,0.3621
30,0.1901,0.1864,0.8892,0.5011,0.4051
31,0.1469,0.9237,0.3465,0.4926,0.3404
32,0.3236,0.3269,0.1987,0.2369,0.2661
33,0.1976,0.1259,0.1368,0.5157,0.0921
34,0.2839,0.3627,0.2786,0.2546,0.2580
35,0.4549,0.0826,0.1736,0.1198,0.3260
36,0.0801,0.1507,0.3229,0.0988,0.2086
37,0.2192,0.1351,0.2798,0.1059,0.1079
38,0.5872,0.2818,1.4631,0.4088,0.4089
39,0.1757,0.0865,0.1335,0.1259,0.5141
40,0.1882,0.1316,0.1642,0.2546,0.2093
41,0.5537,0.3499,0.9791,0.4495,0.3068
42,0.0988,0.2472,0.0923,0.0664,0.3345
43,0.2535,0.1541,0.2807,0.8668,0.7218
44,0.1403,0.1076,0.3453,0.3805,0.3199
45,0.1262,0.2447,0.1639,0.2358,0.2645
46,0.5763,0.5454,0.0539,0.0400,0.0952
47,0.2786,0.1664,0.8591,0.6231,0.1286
48,0.2773,0.3735,0.2664,0.1381,0.8416
49,0.3550,0.4495,0.6370,0.5886,0.4103
50,0.0364,0.3097,1.1437,0.7774,0.5672
51,0.0987,0.1408,0.0560,0.0551,0.1812
52,0.2280,0.1137,0.1701,0.1122,0.2044
53,0.8158,0.3092,0.1636,0.0709,0.1316
54,0.1789,0.1640,0.0565,0.5991,0.1659
55,0.5965,0.5936,0.8123,0.1841,0.6055
56,0.2428,0.0999,0.1171,0.0468,0.2538
57,0.3530,0.1386,0.1320,0.2063,0.0505
58,0.7495,0.3507,0.1227,0.1772,0.1386
59,0.3081,0.1852,1.6784,1.0550,0.4641
60,0.4048,0.0474,0.0534,0.4557,0.3463
61,0.2027,0.2223,0.1493,0.1678,0.1391
62,0.0803,0.1502,0.1762,0.1318,0.1214
63,0.6063,0.0769,0.1125,0.1025,0.0716
64,0.0541,0.1594,0.1052,0.1684,0.1046
65,0.3729,0.0941,0.0726,0.2517,0.1048
66,1.2248,0.1400,0.0834,0.0063,0.1683
67,0.4267,0.1336,0.1475,0.0330,0.0941
68,0.1475,0.0736,0.5083,0.4807,0.4030
69,0.1935,0.1275,0.1298,0.1517,0.9159
70,0.1435,0.0801,0.2047,0.1693,0.5528
71,0.0995,0.1498,0.0928,0.3748,0.5695
72,0.2371,0.1873,0.1330,0.0489,0.2422
73,0.2317,0.1072,0.3536,0.0982,0.1438
74,0.1708,0.1350,0.1319,0.1503,0.0629
75,0.0955,0.6404,0.1397,0.1968,0.1398
76,0.1219,0.1077,0.2833,0.1399,0.1477
77,0.0825,0.0715,0.4360,0.2173,0.2078
78,0.1281,0.0954,0.0547,0.2092,0.3152
79,0.1245,0.3467,0.1771,0.0561,0.1414
80,0.0504,0.0656,0.0631,0.1105,0.1372
81,0.3384,0.0437,0.0845,0.0161,0.0595
82,0.3486,0.3026,0.0727,0.0478,0.5752
83,0.1349,0.2095,0.0915,0.0669,0.3622
84,0.0790,0.3750,0.1576,0.1551,0.3681
85,0.2832,0.1209,0.1216,0.1861,0.4905
86,0.1679,0.1077,0.0819,0.1413,0.1166
87,0.3555,0.3557,0.1344,0.1751,0.1776
88,0.1578,0.1106,0.0451,0.0928,0.0919
89,0.0870,0.0860,0.1005,0.0517,0.0627
90,0.2579,0.5170,0.0512,0.1313,0.1145
91,0.4298,0.1668,0.3321,0.1408,0.1765
92,0.2097,0.0751,0.3113,0.1384,0.1539
93,0.2506,0.1248,0.1145,0.1006,0.2305
94,0.2118,0.1151,0.0659,0.2608,0.1545
95,0.3776,0.4429,0.0472,0.2242,0.2798
96,0.0692,0.2430,0.0657,0.0928,0.3158
97,0.0745,0.2642,0.0836,0.0800,0.4388
98,0.2726,0.1649,0.2471,0.0921,0.0704
99,0.4629,0.0966,0.2115,0.1393,0.2715
100,0.2078,0.0243,0.1119,0.3919,0.0956
101,0.2233,0.1021,0.1220,0.1053,0.2853
102,0.0368,0.4141,0.0792,0.3069,0.6700
103,0.1344,0.0692,0.1634,0.0737,0.2736
104,0.1234,0.1474,0.1180,0.0941,0.2031
105,0.3047,0.1572,0.1816,0.2633,0.1906
106,0.1976,0.1961,0.1437,0.0557,0.4538
107,0.2605,0.1207,0.1861,0.1455,0.2606
108,0.1442,0.1612,0.0909,0.0916,0.1266
109,0.2105,0.1620,0.0129,0.1499,0.1161
110,0.2575,0.1568,0.0441,0.0605,0.1406
111,0.2190,0.1011,0.0692,0.1928,0.1411
112,0.1702,0.1110,0.0944,0.2152,0.2096
113,0.0755,0.0716,0.0363,0.2677,0.0399
114,0.1265,0.0463,0.0589,0.0369,0.2069
115,0.1091,0.1293,0.1371,0.3680,1.1255
116,0.1703,0.1314,0.0398,0.0361,0.0911
117,0.2059,0.0779,0.0573,0.1582,0.0691
118,0.0785,0.0285,0.0785,0.0630,0.0730
119,0.2869,0.1132,0.0609,0.1070,0.0424
120,0.1689,0.2183,0.0805,0.0730,0.1635
