epoch,loss_1,loss_2,loss_3,loss_4,loss_5
1,1.0739,1.0731,1.0734,1.0729,1.0729
2,1.4511,1.4686,1.4604,1.4848,1.4818
3,1.2590,1.4532,1.4140,1.6730,1.4959
4,0.6171,1.2764,1.3806,1.1824,1.3058
5,0.5591,0.7263,0.8349,0.9819,1.0599
6,0.7428,0.5124,0.5834,0.6979,0.4694
7,0.8335,0.7226,0.8443,1.0211,0.9059
8,0.8717,0.6646,1.1044,0.7430,1.3011
9,0.9150,0.5977,0.8326,0.7944,0.6612
10,0.8022,0.7226,0.7906,0.8225,1.7278
11,1.3093,0.5987,1.2571,0.7373,0.8514
12,1.4173,0.9702,0.7990,0.7814,1.0070
13,1.3775,0.6016,1.2398,0.5885,0.8590
14,0.8677,0.9464,0.3587,1.2838,0.5097
15,0.9239,0.7910,0.7910,0.8685,0.5839
16,0.7099,0.7016,0.3949,0.9641,0.3254
17,1.1463,0.6769,0.5939,0.6550,0.4565
18,0.9431,0.5578,0.7603,0.6748,0.1895
19,0.6055,0.7027,0.3872,0.7425,0.4112
20,0.7776,0.5702,1.1474,0.8399,0.8327
21,1.0437,0.7396,0.3671,0.4392,0.4747
22,0.7761,0.6079,0.9200,0.2833,0.5438
23,0.7528,0.4519,0.4739,0.5428,0.2647
24,0.8065,0.5610,0.8214,0.3952,0.4607
25,0.4459,0.8103,0.1859,0.7420,0.2278
26,0.9335,0.8472,1.0557,0.5162,0.9164
27,0.8897,1.0072,0.4662,0.4084,0.3865
28,0.9272,1.2602,0.7834,0.4658,0.3354
29,0.6793,0.5088,0.4764,0.3211,0.2895
30,0.9034,1.0885,0.9835,0.6618,0.3232
31,0.8731,0.4589,0.9110,0.5781,0.9846
32,0.8371,0.5692,0.3677,0.4618,0.2722
33,0.5209,0.5897,0.5302,1.1208,0.3084
34,0.7626,0.4738,0.2455,0.7785,0.3002
35,1.1072,0.7864,0.3901,0.7671,0.4831
36,0.5646,0.6048,0.8647,0.6730,0.5251
37,0.1888,0.6094,0.3193,0.3200,0.1311
38,0.4910,0.5947,0.5024,0.4213,0.1856
39,0.4460,0.3710,0.3705,0.3687,0.4856
40,0.6334,0.7432,0.5253,0.8450,0.3863
41,0.2972,0.7206,0.3735,0.2726,0.3077
42,0.7437,0.9918,0.6519,0.6371,0.7744
43,1.2952,0.8879,1.0058,0.6027,0.5471
44,0.3942,0.5240,0.4956,0.3059,0.4919
45,0.4917,0.5944,0.5024,0.4619,0.4593
46,0.3838,0.3839,0.2615,0.9998,0.5391
47,0.7722,0.5375,0.8444,0.4173,0.5641
48,0.4868,0.2011,0.6299,0.6337,0.1781
49,0.4332,0.3388,0.2407,0.3651,0.4135
50,0.5651,0.6205,0.8628,0.4128,0.7921
51,0.2767,0.4684,0.6501,0.4868,0.7693
52,0.1877,0.2841,0.5180,0.5738,0.3862
53,0.7555,0.7048,0.7028,0.4422,0.7557
54,0.7262,0.2825,0.4243,0.3930,0.4111
55,0.4309,0.2430,0.4654,0.5078,0.2857
56,0.3090,0.6472,0.4919,0.2562,0.2503
57,0.6761,1.0482,0.5083,0.6143,0.4906
58,0.2021,0.5988,0.4500,0.5756,0.2931
59,0.4064,0.5014,0.4006,0.5570,0.5139
60,0.3794,0.4847,0.7200,0.1574,0.6064
61,0.2373,0.3377,0.5257,0.2093,0.1803
62,0.4951,0.4022,0.2895,0.4029,0.4439
63,1.0276,0.3715,0.3619,0.6636,0.5563
64,0.6506,0.5019,0.4641,0.5792,0.3290
65,0.6155,0.4258,0.4257,0.4210,0.8428
66,0.2303,0.8254,0.3009,0.5096,0.5567
67,0.1055,0.2221,0.4291,0.3425,0.3237
68,0.1865,0.6164,0.4575,0.3260,0.6587
69,0.3067,0.3520,0.3075,0.1610,0.1855
70,0.3808,0.3971,0.5360,0.3205,0.4332
71,0.2264,0.7981,0.7441,0.2389,0.4466
72,0.4592,0.3115,0.5072,0.7156,0.4647
73,0.2507,0.1135,0.4303,0.5171,0.2644
74,0.1864,0.5786,0.5700,0.3713,0.4453
75,0.7480,0.4369,0.3321,0.3752,0.2632
76,0.6106,0.5014,0.4110,0.3310,0.4313
77,0.6360,0.3421,0.4455,0.1807,0.2247
78,0.9142,0.9024,0.3269,0.1767,0.4546
79,0.3149,0.4715,0.8452,0.2791,0.2897
80,0.4773,0.3139,0.6527,0.3194,0.7182
81,0.6379,0.3839,0.3179,0.1563,0.2502
82,0.1908,0.3721,0.1580,0.2563,0.1200
83,0.3338,0.4407,0.1948,0.3501,0.6175
84,0.6909,0.3746,0.7959,0.3142,0.4139
85,0.2645,0.5864,0.5773,0.1968,0.2792
86,0.7361,0.6066,0.3120,0.0726,0.2858
87,0.2811,0.4493,0.3833,0.2704,0.2083
88,0.2999,0.5541,0.4442,0.3456,0.2969
89,0.4691,0.5362,0.9129,0.4009,0.2579
90,0.5476,0.5655,0.3196,0.5035,0.4471
91,0.1911,0.8823,0.6082,0.3503,0.3428
92,0.8508,0.6165,0.5824,0.2604,0.4049
93,0.8013,0.2384,0.5249,0.3605,0.5898
94,0.3036,0.6024,0.4994,0.1352,0.3906
95,0.1028,0.2440,0.2533,0.2509,0.5360
96,0.3856,0.4746,0.2576,0.1059,0.2852
97,0.1817,0.3492,0.1747,0.1741,0.3069
98,0.1697,0.4402,0.4750,0.2011,0.2008
99,0.4402,0.2630,0.2985,0.2149,0.1560
100,0.1263,0.4205,0.1694,0.2462,0.3361
101,0.6146,0.5095,0.4800,0.1476,0.2337
102,0.1077,0.2588,0.3097,0.1364,0.2854
103,0.3008,0.5660,0.2006,0.1248,0.4397
104,0.3455,0.4092,0.3227,0.2968,0.2052
105,0.3521,0.6987,0.5241,0.2355,0.2974
106,0.3642,0.2263,0.2585,0.0435,0.1820
107,0.3084,0.7623,0.6239,0.1669,0.4936
108,0.8644,0.7390,0.4038,0.1182,0.1573
109,0.1699,0.2850,0.1889,0.4575,0.2084
110,0.3326,0.3596,0.3970,0.4528,0.2935
111,0.2859,0.4706,0.7247,0.2212,0.5121
112,0.2984,0.3702,0.1579,0.2990,0.1344
113,0.6331,0.4718,0.3962,0.3176,0.4361
114,0.8803,0.5017,0.5191,0.1619,0.2334
115,0.1801,0.6488,0.3928,0.1315,0.2139
116,0.5884,0.8160,0.6086,0.3059,0.7268
117,0.7867,0.1547,0.1890,0.2211,0.2689
118,0.1722,0.2142,0.3486,0.2451,0.1894
119,0.2420,0.3030,0.1341,0.2024,0.4344
120,0.3598,0.3022,0.4129,0.1264,0.2536
