Epoch 1:    train/loss: 0.5359   valid/loss: 1.2226   train/acc: 0.5165   valid/acc: 0.4423
Epoch 2:    train/loss: 1.2884   valid/loss: 1.1226   train/acc: 0.5124   valid/acc: 0.3846
Epoch 3:    train/loss: 1.0676   valid/loss: 1.0590   train/acc: 0.5207   valid/acc: 0.4808
Epoch 4:    train/loss: 0.5791   valid/loss: 1.0633   train/acc: 0.5331   valid/acc: 0.5000
Epoch 5:    train/loss: 0.7944   valid/loss: 1.0313   train/acc: 0.5537   valid/acc: 0.5000
Epoch 6:    train/loss: 1.3320   valid/loss: 0.9597   train/acc: 0.5000   valid/acc: 0.4038
Epoch 7:    train/loss: 0.7957   valid/loss: 0.9748   train/acc: 0.4855   valid/acc: 0.4615
Epoch 8:    train/loss: 1.2443   valid/loss: 0.8325   train/acc: 0.5579   valid/acc: 0.4615
Epoch 9:    train/loss: 0.3863   valid/loss: 0.8818   train/acc: 0.4835   valid/acc: 0.5577
Epoch 10:   train/loss: 0.4378   valid/loss: 0.9368   train/acc: 0.5083   valid/acc: 0.5000
Epoch 11:   train/loss: 0.7729   valid/loss: 0.8024   train/acc: 0.5000   valid/acc: 0.5385
Epoch 12:   train/loss: 0.1397   valid/loss: 0.9232   train/acc: 0.5537   valid/acc: 0.5000
Epoch 13:   train/loss: 1.1903   valid/loss: 0.8832   train/acc: 0.5640   valid/acc: 0.5000
Epoch 14:   train/loss: 0.5084   valid/loss: 0.9618   train/acc: 0.5124   valid/acc: 0.4808
Epoch 15:   train/loss: 0.2998   valid/loss: 0.8755   train/acc: 0.5579   valid/acc: 0.4615
Epoch 16:   train/loss: 0.9869   valid/loss: 0.9449   train/acc: 0.5351   valid/acc: 0.4615
Epoch 17:   train/loss: 1.2017   valid/loss: 1.0089   train/acc: 0.5579   valid/acc: 0.5192
Epoch 18:   train/loss: 0.8609   valid/loss: 0.8594   train/acc: 0.5455   valid/acc: 0.5385
Epoch 19:   train/loss: 0.6860   valid/loss: 0.9406   train/acc: 0.6281   valid/acc: 0.5385
Epoch 20:   train/loss: 0.1725   valid/loss: 1.0093   train/acc: 0.5620   valid/acc: 0.5962
Epoch 21:   train/loss: 0.9975   valid/loss: 0.9693   train/acc: 0.5434   valid/acc: 0.5577
Epoch 22:   train/loss: 2.4386   valid/loss: 0.7181   train/acc: 0.5992   valid/acc: 0.6346
Epoch 23:   train/loss: 1.8190   valid/loss: 0.8454   train/acc: 0.5702   valid/acc: 0.5962
Epoch 24:   train/loss: 0.9058   valid/loss: 0.8672   train/acc: 0.5868   valid/acc: 0.5769
Epoch 25:   train/loss: 0.4828   valid/loss: 0.8296   train/acc: 0.5888   valid/acc: 0.5769
Epoch 26:   train/loss: 0.1128   valid/loss: 0.8322   train/acc: 0.5620   valid/acc: 0.5769
Epoch 27:   train/loss: 0.2687   valid/loss: 0.8165   train/acc: 0.6364   valid/acc: 0.6346
Epoch 28:   train/loss: 0.3618   valid/loss: 0.7073   train/acc: 0.6240   valid/acc: 0.6346
Epoch 29:   train/loss: 1.5171   valid/loss: 0.7811   train/acc: 0.6116   valid/acc: 0.5962
Epoch 30:   train/loss: 0.3387   valid/loss: 0.7760   train/acc: 0.6157   valid/acc: 0.5577
Epoch 31:   train/loss: 0.1692   valid/loss: 0.7380   train/acc: 0.6074   valid/acc: 0.5962
Epoch 32:   train/loss: 0.4671   valid/loss: 0.7526   train/acc: 0.6074   valid/acc: 0.5962
Epoch 33:   train/loss: 0.2434   valid/loss: 0.7299   train/acc: 0.6136   valid/acc: 0.5962
Epoch 34:   train/loss: 1.1531   valid/loss: 0.7755   train/acc: 0.6198   valid/acc: 0.5962
Epoch 35:   train/loss: 2.0769   valid/loss: 0.7673   train/acc: 0.6116   valid/acc: 0.6154
Epoch 36:   train/loss: 0.4281   valid/loss: 0.7503   train/acc: 0.6198   valid/acc: 0.6154
Epoch 37:   train/loss: 1.6057   valid/loss: 0.7975   train/acc: 0.5702   valid/acc: 0.5577
Epoch 38:   train/loss: 0.1592   valid/loss: 0.7167   train/acc: 0.6240   valid/acc: 0.6538
Epoch 39:   train/loss: 0.4338   valid/loss: 0.7237   train/acc: 0.6157   valid/acc: 0.6154
Epoch 40:   train/loss: 0.7804   valid/loss: 0.7450   train/acc: 0.5950   valid/acc: 0.6346
Epoch 41:   train/loss: 0.5965   valid/loss: 0.7119   train/acc: 0.5537   valid/acc: 0.6346
Epoch 42:   train/loss: 0.6839   valid/loss: 0.7477   train/acc: 0.6095   valid/acc: 0.6346
Epoch 43:   train/loss: 0.5336   valid/loss: 0.7347   train/acc: 0.6529   valid/acc: 0.6346
Epoch 44:   train/loss: 0.3404   valid/loss: 0.6809   train/acc: 0.6260   valid/acc: 0.6731
Epoch 45:   train/loss: 0.5928   valid/loss: 0.6846   train/acc: 0.6364   valid/acc: 0.7115
Epoch 46:   train/loss: 0.9940   valid/loss: 0.6877   train/acc: 0.6157   valid/acc: 0.7115
Epoch 47:   train/loss: 1.4250   valid/loss: 0.6670   train/acc: 0.6281   valid/acc: 0.7308
Epoch 48:   train/loss: 1.3302   valid/loss: 0.6696   train/acc: 0.6095   valid/acc: 0.7115
Epoch 49:   train/loss: 0.5081   valid/loss: 0.6776   train/acc: 0.6322   valid/acc: 0.7115
Epoch 50:   train/loss: 0.2395   valid/loss: 0.6458   train/acc: 0.6446   valid/acc: 0.7115
Epoch 51:   train/loss: 0.7167   valid/loss: 0.6656   train/acc: 0.6240   valid/acc: 0.6346
Epoch 52:   train/loss: 0.1509   valid/loss: 0.6771   train/acc: 0.6240   valid/acc: 0.6154
Epoch 53:   train/loss: 0.7469   valid/loss: 0.6663   train/acc: 0.6054   valid/acc: 0.6731
Epoch 54:   train/loss: 0.1048   valid/loss: 0.6534   train/acc: 0.6157   valid/acc: 0.6346
Epoch 55:   train/loss: 1.6274   valid/loss: 0.7099   train/acc: 0.5826   valid/acc: 0.6346
