Epoch 1:    train/loss: 0.7357   valid/loss: 1.1040   train/acc: 0.4587   valid/acc: 0.4231
Epoch 2:    train/loss: 0.8033   valid/loss: 0.8511   train/acc: 0.4959   valid/acc: 0.4808
Epoch 3:    train/loss: 1.3675   valid/loss: 0.9535   train/acc: 0.5083   valid/acc: 0.5000
Epoch 4:    train/loss: 2.6714   valid/loss: 0.8767   train/acc: 0.5207   valid/acc: 0.6154
Epoch 5:    train/loss: 0.6731   valid/loss: 0.9462   train/acc: 0.5785   valid/acc: 0.5577
Epoch 6:    train/loss: 1.2981   valid/loss: 0.8522   train/acc: 0.5083   valid/acc: 0.5962
Epoch 7:    train/loss: 0.4599   valid/loss: 1.1335   train/acc: 0.5455   valid/acc: 0.5385
Epoch 8:    train/loss: 1.3097   valid/loss: 1.1565   train/acc: 0.5661   valid/acc: 0.5385
Epoch 9:    train/loss: 1.2615   valid/loss: 1.1285   train/acc: 0.5496   valid/acc: 0.4808
Epoch 10:   train/loss: 0.4319   valid/loss: 1.0959   train/acc: 0.5826   valid/acc: 0.5577
Epoch 11:   train/loss: 0.5660   valid/loss: 1.0450   train/acc: 0.5826   valid/acc: 0.5192
Epoch 12:   train/loss: 0.7922   valid/loss: 1.0427   train/acc: 0.5992   valid/acc: 0.5769
Epoch 13:   train/loss: 1.2290   valid/loss: 1.0050   train/acc: 0.5620   valid/acc: 0.5385
Epoch 14:   train/loss: 0.8221   valid/loss: 0.9749   train/acc: 0.5517   valid/acc: 0.5769
Epoch 15:   train/loss: 0.0870   valid/loss: 0.9022   train/acc: 0.6116   valid/acc: 0.5192
Epoch 16:   train/loss: 0.5190   valid/loss: 0.9437   train/acc: 0.6198   valid/acc: 0.5385
Epoch 17:   train/loss: 1.4134   valid/loss: 0.9445   train/acc: 0.5909   valid/acc: 0.5192
Epoch 18:   train/loss: 0.6530   valid/loss: 1.0587   train/acc: 0.5496   valid/acc: 0.5192
Epoch 19:   train/loss: 1.2196   valid/loss: 1.1062   train/acc: 0.6033   valid/acc: 0.5385
Epoch 20:   train/loss: 0.6636   valid/loss: 1.1081   train/acc: 0.5868   valid/acc: 0.5000
