Functions
Variables
Definitions
NumpyModel
Initialize the trainer
Dataset

Training ..
Epoch 1:    train/loss: 1.1167   valid/loss: 1.0411   train/acc: 0.5824   valid/acc: 0.4737
Epoch 2:    train/loss: 0.5994   valid/loss: 0.4561   train/acc: 0.6593   valid/acc: 0.7895
Epoch 3:    train/loss: 0.4572   valid/loss: 0.4896   train/acc: 0.7802   valid/acc: 0.7895
Epoch 4:    train/loss: 0.2810   valid/loss: 0.5014   train/acc: 0.8022   valid/acc: 0.7895
Epoch 5:    train/loss: 0.6980   valid/loss: 0.4801   train/acc: 0.7473   valid/acc: 0.7895
Epoch 6:    train/loss: 0.2514   valid/loss: 0.4413   train/acc: 0.8132   valid/acc: 0.7895
Epoch 7:    train/loss: 0.1549   valid/loss: 0.4607   train/acc: 0.8132   valid/acc: 0.7895
Epoch 8:    train/loss: 0.1821   valid/loss: 0.4964   train/acc: 0.8242   valid/acc: 0.7368
Epoch 9:    train/loss: 0.1043   valid/loss: 0.3961   train/acc: 0.8791   valid/acc: 0.8421
Epoch 10:   train/loss: 0.3173   valid/loss: 0.7338   train/acc: 0.8681   valid/acc: 0.7895
Epoch 11:   train/loss: 0.1335   valid/loss: 0.4517   train/acc: 0.9011   valid/acc: 0.8421
Epoch 12:   train/loss: 0.1516   valid/loss: 0.4767   train/acc: 0.9011   valid/acc: 0.8421
Epoch 13:   train/loss: 0.5254   valid/loss: 0.4430   train/acc: 0.8901   valid/acc: 0.8421
Epoch 14:   train/loss: 0.2868   valid/loss: 0.4265   train/acc: 0.9121   valid/acc: 0.8947
Epoch 15:   train/loss: 0.1128   valid/loss: 0.3682   train/acc: 0.9231   valid/acc: 0.8421
Epoch 16:   train/loss: 0.1315   valid/loss: 0.5056   train/acc: 0.9231   valid/acc: 0.7895
Epoch 17:   train/loss: 0.5833   valid/loss: 0.3304   train/acc: 0.9121   valid/acc: 0.8421
Epoch 18:   train/loss: 0.0441   valid/loss: 0.3227   train/acc: 0.9451   valid/acc: 0.8421
Epoch 19:   train/loss: 0.4986   valid/loss: 0.3272   train/acc: 0.9451   valid/acc: 0.8421
Epoch 20:   train/loss: 0.2946   valid/loss: 0.3586   train/acc: 0.9560   valid/acc: 0.8421
Epoch 21:   train/loss: 0.2190   valid/loss: 0.3781   train/acc: 0.9451   valid/acc: 0.7895
Epoch 22:   train/loss: 0.1627   valid/loss: 0.3754   train/acc: 0.9670   valid/acc: 0.7895
Epoch 23:   train/loss: 0.4414   valid/loss: 0.4088   train/acc: 0.9560   valid/acc: 0.7895
Epoch 24:   train/loss: 0.1037   valid/loss: 0.3831   train/acc: 0.9451   valid/acc: 0.8421
Epoch 25:   train/loss: 0.0593   valid/loss: 0.3971   train/acc: 0.9670   valid/acc: 0.8421
Epoch 26:   train/loss: 0.1988   valid/loss: 0.3947   train/acc: 0.9560   valid/acc: 0.8421
Epoch 27:   train/loss: 0.1063   valid/loss: 0.3880   train/acc: 0.9890   valid/acc: 0.8421
Epoch 28:   train/loss: 0.1754   valid/loss: 0.3833   train/acc: 0.9560   valid/acc: 0.8421
Epoch 29:   train/loss: 0.1454   valid/loss: 0.3615   train/acc: 0.9780   valid/acc: 0.8421
Epoch 30:   train/loss: 0.0303   valid/loss: 0.3544   train/acc: 0.9560   valid/acc: 0.8421
Epoch 31:   train/loss: 0.0493   valid/loss: 0.3662   train/acc: 0.9780   valid/acc: 0.8421
Epoch 32:   train/loss: 0.0233   valid/loss: 0.4477   train/acc: 0.9451   valid/acc: 0.7895
Epoch 33:   train/loss: 0.0682   valid/loss: 0.3733   train/acc: 0.9780   valid/acc: 0.8421
Epoch 34:   train/loss: 0.0387   valid/loss: 0.3253   train/acc: 0.9451   valid/acc: 0.8421
Epoch 35:   train/loss: 0.1242   valid/loss: 0.3351   train/acc: 0.9451   valid/acc: 0.8421
Epoch 36:   train/loss: 0.0445   valid/loss: 0.3351   train/acc: 0.9451   valid/acc: 0.8421
Epoch 37:   train/loss: 0.0380   valid/loss: 0.3443   train/acc: 0.9560   valid/acc: 0.8421
Epoch 38:   train/loss: 0.0379   valid/loss: 0.3507   train/acc: 0.9890   valid/acc: 0.8421
Epoch 39:   train/loss: 0.0447   valid/loss: 0.3626   train/acc: 0.9670   valid/acc: 0.8421
Epoch 40:   train/loss: 0.1315   valid/loss: 0.3461   train/acc: 0.9451   valid/acc: 0.8421
Epoch 41:   train/loss: 0.0454   valid/loss: 0.3466   train/acc: 0.9341   valid/acc: 0.8421
Epoch 42:   train/loss: 0.0704   valid/loss: 0.3417   train/acc: 0.9780   valid/acc: 0.8421
Epoch 43:   train/loss: 0.0591   valid/loss: 0.3631   train/acc: 0.9670   valid/acc: 0.8421
Epoch 44:   train/loss: 0.1180   valid/loss: 0.3684   train/acc: 0.9560   valid/acc: 0.8421
Epoch 45:   train/loss: 0.1009   valid/loss: 0.3578   train/acc: 0.9451   valid/acc: 0.8421
Epoch 46:   train/loss: 0.0940   valid/loss: 0.3420   train/acc: 0.9560   valid/acc: 0.8421
Epoch 47:   train/loss: 0.0641   valid/loss: 0.3341   train/acc: 0.9890   valid/acc: 0.8421
Epoch 48:   train/loss: 0.0961   valid/loss: 0.3347   train/acc: 0.9670   valid/acc: 0.8421
Epoch 49:   train/loss: 0.1165   valid/loss: 0.3376   train/acc: 0.9670   valid/acc: 0.8421
Epoch 50:   train/loss: 0.2005   valid/loss: 0.3408   train/acc: 0.9890   valid/acc: 0.8421
Epoch 51:   train/loss: 0.0561   valid/loss: 0.3441   train/acc: 0.9780   valid/acc: 0.8421
Epoch 52:   train/loss: 0.0445   valid/loss: 0.3372   train/acc: 0.9780   valid/acc: 0.8421
Epoch 53:   train/loss: 0.0122   valid/loss: 0.3258   train/acc: 0.9890   valid/acc: 0.8421
Epoch 54:   train/loss: 0.0459   valid/loss: 0.3197   train/acc: 0.9890   valid/acc: 0.8421
Epoch 55:   train/loss: 0.0266   valid/loss: 0.3186   train/acc: 0.9780   valid/acc: 0.8421
Epoch 56:   train/loss: 0.0129   valid/loss: 0.3109   train/acc: 0.9890   valid/acc: 0.8421
Epoch 57:   train/loss: 0.0412   valid/loss: 0.3104   train/acc: 0.9780   valid/acc: 0.8421
Epoch 58:   train/loss: 0.4924   valid/loss: 0.3615   train/acc: 0.9780   valid/acc: 0.8421
Epoch 59:   train/loss: 0.0346   valid/loss: 0.3537   train/acc: 0.9890   valid/acc: 0.8421
Epoch 60:   train/loss: 0.0391   valid/loss: 0.3306   train/acc: 0.9780   valid/acc: 0.8421
Epoch 61:   train/loss: 0.0617   valid/loss: 0.3289   train/acc: 0.9890   valid/acc: 0.8421
Epoch 62:   train/loss: 0.0564   valid/loss: 0.3229   train/acc: 0.9890   valid/acc: 0.8421
Epoch 63:   train/loss: 0.0115   valid/loss: 0.3137   train/acc: 0.9560   valid/acc: 0.8421
