Epoch 1:   train/loss: 1.6137   valid/loss: 1.5500   train/acc: 0.5510   valid/acc: 0.4667
Epoch 2:   train/loss: 1.8528   valid/loss: 1.3433   train/acc: 0.4490   valid/acc: 0.3333
Epoch 3:   train/loss: 1.8276   valid/loss: 0.8191   train/acc: 0.5714   valid/acc: 0.5333
Epoch 4:   train/loss: 0.8328   valid/loss: 0.5752   train/acc: 0.5714   valid/acc: 0.6000
Epoch 5:   train/loss: 0.6244   valid/loss: 0.9274   train/acc: 0.6531   valid/acc: 0.6667
Epoch 6:   train/loss: 0.8715   valid/loss: 0.4813   train/acc: 0.5918   valid/acc: 0.7333
Epoch 7:   train/loss: 1.8904   valid/loss: 0.4187   train/acc: 0.6837   valid/acc: 0.7333
Epoch 8:   train/loss: 0.5474   valid/loss: 0.4657   train/acc: 0.6327   valid/acc: 0.7333
Epoch 9:   train/loss: 0.3400   valid/loss: 0.7165   train/acc: 0.7551   valid/acc: 0.8000
Epoch 10:  train/loss: 0.0644   valid/loss: 0.4627   train/acc: 0.7347   valid/acc: 0.7333
Epoch 11:  train/loss: 0.4800   valid/loss: 0.8883   train/acc: 0.7551   valid/acc: 0.6667
Epoch 12:  train/loss: 0.4999   valid/loss: 0.5749   train/acc: 0.7245   valid/acc: 0.8667
Epoch 13:  train/loss: 0.9833   valid/loss: 0.3962   train/acc: 0.7347   valid/acc: 0.8667
Epoch 14:  train/loss: 0.5551   valid/loss: 0.3749   train/acc: 0.8980   valid/acc: 0.7333
Epoch 15:  train/loss: 0.3594   valid/loss: 0.4400   train/acc: 0.8980   valid/acc: 0.8667
Epoch 16:  train/loss: 0.2336   valid/loss: 0.4126   train/acc: 0.8776   valid/acc: 0.8667
Epoch 17:  train/loss: 0.2423   valid/loss: 0.2270   train/acc: 0.8367   valid/acc: 0.8667
Epoch 18:  train/loss: 0.0499   valid/loss: 0.2110   train/acc: 0.8980   valid/acc: 0.8667
Epoch 19:  train/loss: 0.1412   valid/loss: 0.1849   train/acc: 0.8878   valid/acc: 0.9333
Epoch 20:  train/loss: 0.5827   valid/loss: 0.3654   train/acc: 0.8776   valid/acc: 0.8667
Epoch 21:  train/loss: 0.1212   valid/loss: 0.1693   train/acc: 0.8469   valid/acc: 1.0000
Epoch 22:  train/loss: 0.1000   valid/loss: 0.1839   train/acc: 0.9388   valid/acc: 0.9333
Epoch 23:  train/loss: 0.2767   valid/loss: 0.2593   train/acc: 0.9184   valid/acc: 0.9333
Epoch 24:  train/loss: 0.2580   valid/loss: 0.1929   train/acc: 0.8367   valid/acc: 0.9333
Epoch 25:  train/loss: 0.1674   valid/loss: 0.0791   train/acc: 0.7959   valid/acc: 1.0000
Epoch 26:  train/loss: 0.2207   valid/loss: 0.0746   train/acc: 0.8878   valid/acc: 1.0000
Epoch 27:  train/loss: 0.0270   valid/loss: 0.0772   train/acc: 0.8980   valid/acc: 1.0000
Epoch 28:  train/loss: 0.0188   valid/loss: 0.0748   train/acc: 0.9694   valid/acc: 1.0000
Epoch 29:  train/loss: 0.0863   valid/loss: 0.0626   train/acc: 0.9388   valid/acc: 1.0000
Epoch 30:  train/loss: 0.0169   valid/loss: 0.0534   train/acc: 0.8776   valid/acc: 1.0000

Training completed!

* Test Results *
------------------------------
Accuracy: 72.73%
------------------------------
