Functions
Definitions
NumpyModel
Initialize the trainer
Dataset

Training ..
2024-09-01 01:32:17.632838: E external/xla/xla/service/slow_operation_alarm.cc:133] The operation took 11m57.620778s

********************************
[Compiling module jit_diagram_output] Slow compile? XLA was built without compiler optimizations, which can be slow. Try rebuilding with -c opt.
********************************
Epoch 1:    train/loss: 0.6956   valid/loss: 0.8798   train/acc: 0.5385   valid/acc: 0.5263
Epoch 2:    train/loss: 0.7792   valid/loss: 0.6671   train/acc: 0.4725   valid/acc: 0.5789
Epoch 3:    train/loss: 0.8226   valid/loss: 0.6857   train/acc: 0.5495   valid/acc: 0.6316
Epoch 4:    train/loss: 0.5296   valid/loss: 0.4284   train/acc: 0.5495   valid/acc: 0.8421
Epoch 5:    train/loss: 0.3494   valid/loss: 0.6392   train/acc: 0.6703   valid/acc: 0.6842
Epoch 6:    train/loss: 0.7935   valid/loss: 0.7254   train/acc: 0.6923   valid/acc: 0.6842
Epoch 7:    train/loss: 0.3005   valid/loss: 0.5819   train/acc: 0.6264   valid/acc: 0.6316
Epoch 8:    train/loss: 0.8472   valid/loss: 0.5785   train/acc: 0.6264   valid/acc: 0.6842
Epoch 9:    train/loss: 0.3528   valid/loss: 0.5448   train/acc: 0.6484   valid/acc: 0.7368
Epoch 10:   train/loss: 0.5762   valid/loss: 0.6136   train/acc: 0.7802   valid/acc: 0.6316
Epoch 11:   train/loss: 0.7251   valid/loss: 0.6056   train/acc: 0.7143   valid/acc: 0.6316
Epoch 12:   train/loss: 0.5338   valid/loss: 0.6372   train/acc: 0.7088   valid/acc: 0.6316
Epoch 13:   train/loss: 0.3486   valid/loss: 0.6180   train/acc: 0.7143   valid/acc: 0.6316
Epoch 14:   train/loss: 0.5367   valid/loss: 0.5057   train/acc: 0.7033   valid/acc: 0.7368
Epoch 15:   train/loss: 0.7971   valid/loss: 0.4632   train/acc: 0.7802   valid/acc: 0.7895
Epoch 16:   train/loss: 0.8726   valid/loss: 0.4952   train/acc: 0.7473   valid/acc: 0.8421
Epoch 17:   train/loss: 1.1691   valid/loss: 0.5308   train/acc: 0.7363   valid/acc: 0.7895
Epoch 18:   train/loss: 0.8032   valid/loss: 0.4135   train/acc: 0.6923   valid/acc: 0.8421
Epoch 19:   train/loss: 0.6908   valid/loss: 0.5088   train/acc: 0.7802   valid/acc: 0.7368
Epoch 20:   train/loss: 0.8316   valid/loss: 0.5012   train/acc: 0.7582   valid/acc: 0.7368
Epoch 21:   train/loss: 0.1867   valid/loss: 0.5162   train/acc: 0.8242   valid/acc: 0.7895
Epoch 22:   train/loss: 0.5201   valid/loss: 0.5022   train/acc: 0.7363   valid/acc: 0.7895
Epoch 23:   train/loss: 0.5995   valid/loss: 0.4318   train/acc: 0.8571   valid/acc: 0.8947
Epoch 24:   train/loss: 0.1497   valid/loss: 0.5198   train/acc: 0.8352   valid/acc: 0.8421
Epoch 25:   train/loss: 0.4488   valid/loss: 0.4253   train/acc: 0.8901   valid/acc: 0.8947
Epoch 26:   train/loss: 0.5008   valid/loss: 0.4345   train/acc: 0.8901   valid/acc: 0.7895
Epoch 27:   train/loss: 0.3009   valid/loss: 0.4483   train/acc: 0.8132   valid/acc: 0.7895
