Epoch 1:   train/loss: 1.1074   valid/loss: 0.8647   train/acc: 0.6531   valid/acc: 0.4000
Epoch 2:   train/loss: 1.1408   valid/loss: 0.3215   train/acc: 0.5714   valid/acc: 0.8000
Epoch 3:   train/loss: 1.8881   valid/loss: 0.6169   train/acc: 0.7347   valid/acc: 0.5333
Epoch 4:   train/loss: 0.1347   valid/loss: 1.1468   train/acc: 0.4490   valid/acc: 0.6000
Epoch 5:   train/loss: 0.7524   valid/loss: 0.7121   train/acc: 0.5918   valid/acc: 0.5333
Epoch 6:   train/loss: 0.7096   valid/loss: 0.5959   train/acc: 0.6122   valid/acc: 0.6667
Epoch 7:   train/loss: 0.0978   valid/loss: 0.5450   train/acc: 0.6939   valid/acc: 0.6667
Epoch 8:   train/loss: 1.0369   valid/loss: 0.3984   train/acc: 0.7755   valid/acc: 0.8000
Epoch 9:   train/loss: 1.0293   valid/loss: 0.4244   train/acc: 0.8163   valid/acc: 0.8667
Epoch 10:  train/loss: 0.2365   valid/loss: 0.3619   train/acc: 0.8776   valid/acc: 0.8667
Epoch 11:  train/loss: 0.4899   valid/loss: 0.4844   train/acc: 0.7755   valid/acc: 0.6667
Epoch 12:  train/loss: 0.3431   valid/loss: 0.4139   train/acc: 0.7755   valid/acc: 0.8000
Epoch 13:  train/loss: 0.3933   valid/loss: 0.3396   train/acc: 0.6837   valid/acc: 0.9333
Epoch 14:  train/loss: 0.3654   valid/loss: 0.3222   train/acc: 0.9082   valid/acc: 0.8667
Epoch 15:  train/loss: 0.0796   valid/loss: 0.5657   train/acc: 0.8776   valid/acc: 0.8667
Epoch 16:  train/loss: 0.7282   valid/loss: 0.4070   train/acc: 0.6122   valid/acc: 0.8000
Epoch 17:  train/loss: 0.0887   valid/loss: 0.6080   train/acc: 0.7143   valid/acc: 0.7333
Epoch 18:  train/loss: 0.0148   valid/loss: 1.3120   train/acc: 0.8163   valid/acc: 0.7333
Epoch 19:  train/loss: 0.8654   valid/loss: 0.7943   train/acc: 0.6735   valid/acc: 0.6667
Epoch 20:  train/loss: 0.0835   valid/loss: 0.5926   train/acc: 0.6939   valid/acc: 0.7333
Epoch 21:  train/loss: 0.0308   valid/loss: 0.4744   train/acc: 0.8776   valid/acc: 0.8000
Epoch 22:  train/loss: 0.2242   valid/loss: 0.4317   train/acc: 0.8265   valid/acc: 0.8000
Epoch 23:  train/loss: 0.1132   valid/loss: 0.3452   train/acc: 0.8469   valid/acc: 0.8000
Epoch 24:  train/loss: 0.2118   valid/loss: 0.3525   train/acc: 0.8163   valid/acc: 0.8667
Epoch 25:  train/loss: 0.0324   valid/loss: 0.2847   train/acc: 0.9286   valid/acc: 0.8667
Epoch 26:  train/loss: 0.6124   valid/loss: 0.4611   train/acc: 0.8265   valid/acc: 0.8000
Epoch 27:  train/loss: 0.6183   valid/loss: 0.3818   train/acc: 0.8776   valid/acc: 0.8000
Epoch 28:  train/loss: 0.0490   valid/loss: 0.2804   train/acc: 0.8980   valid/acc: 0.8667
Epoch 29:  train/loss: 0.4509   valid/loss: 0.2125   train/acc: 0.8571   valid/acc: 0.9333
Epoch 30:  train/loss: 0.1979   valid/loss: 0.3516   train/acc: 0.8571   valid/acc: 0.8000

Training completed!

* Test Results *
------------------------------
Accuracy: 90.91%
------------------------------
